PRODUCT PAGE NAME,PAGE LEVEL DESCRIPTION
Wheel Loader Debris & Brush Grapple Buckets,"TAG Debris And Brush Grapple Buckets With Two (2) Independent Top Clamps Are Designed For General Duty Debris Cleanup And Light Weight Loose Materials.
 - Three (3) Side Profiles Available: Full Sides, Half Sides, Cut-Away Sides
 - Three (3) Clamp Configurations: Standard Open Clamps, Enclosed Clamps With Solid Plating, Expanded Metal Clamps
 - Includes Bolt On Edge & Rear Wear Pads
 - Requires 3Rd Function Hydraulics
 **For Continuous Duty Cycle Application And Recycling Applications Please Refer To Heavy Duty Recycling Grapple Buckets**"
Wheel Loader Extendable Booms,"TAG Extendable Material Handling Boom Is Ideal For Lifting And Positioning Material In A Long Reach Position.
 - High Strength Rectangular Tubular Steel Construction
 - Manually Extendable
 - Pin On Or Quick Coupler Compatible
 
 **Lift Capacity Is Based Upon The Specific Loader'S Hydraulic Limitiation And/Or Tipping Load That The TAG Boom Is Being Used On**"
Wheel Loader Fixed Booms,"TAG Fixed Material Handling Boom Is Ideal For Lifting And Positioning Material In A Long Reach Position.
 - High Strength Rectangular Tubular Steel Construction
 - Fixed Length (6Ft Or 8Ft)
 - Pin On Or Quick Coupler Compatible
 
 **Lift Capacity Is Based Upon The Specific Loader'S Hydraulic Limitiation And/Or Tipping Load That The TAG Boom Is Being Used On**"
Wheel Loader General Purpose Buckets,"TAG General Purpose Buckets Are Designed For Basic Dirt Handling Needs. These Buckets Handle Material Up To 3,200 Lbs Per Cubic Yard
 - Includes Bolt On Edge & Rear Wear Pads
 - Tooth And Segment Options Available"
Wheel Loader Hd Recycling Grapple Buckets,"TAG Heavy Duty Recycling And Waste Transfer Grapple Buckets Are Designed For Continuous Cycle Duty Applications With Robust Ladder Style Clamps And Larger Hinge Pins And Clamp Stops.
 - Three (3) Side Profiles Available: Full Sides, Half Sides, Cut-Away Sides
 - Includes Bolt On Edge & Rear Wear Pads
 - Optional Rubber Edges And Rear Wear Pads
 - Requires 3Rd Function Hydraulics"
Wheel Loader Hd Spade Nose Rock Buckets,"TAG Heavy Spade Nose Rock Buckets Offer A Solution For Rock Intense Application.
 - Includes Bolt On Edge & Rear Wear Pads
 - Tooth And Segment Options Available
 - Additional Options: Weld In Liners, Tire Kickers
 
 ** Call For Sxd Mining Options **"
Wheel Loader Hd Straight Lip Rock Buckets,"TAG Heavy Straight Lip Rock Buckets Offer A Solution For Rock Intense Application.
 - Includes Bolt On Edge & Rear Wear Pads
 - Tooth And Segment Options Available
 - Additional Options: Weld In Liners, Tire Kickers
 
 ** Call For Sxd Mining Options **"
Wheel Loader High Tip Roll Out Buckets,"TAG High Tip Rollout Buckets Offer Fast And Reliable Dumping With Twisting And Flex Resistance At Maximum Heights. 
 - Wide Based, Twin Cylinder Sub Carriage
 - Full Mechanical Stops Ensure Greater Reliability
 - Low Volume Cylinder Housing Increases Bucket Capacity
 - Open Cylinder Housings Reduce Material Build Up
 - 3Rd Function Hydraulics Required"
Wheel Loader Hydra Multi-QC Couplers,"TAG Hydra Multi Couplers Offers Interchange Between Cat It, Jrb & Volvo / Hi Vis Attachments Within A Single Coupler Unit. 
 - Robust Heavy Duty Carriage
 - Interchangeability: Cat It, Jrb & Volvo / Hi Vis
 - Includes Hydraulic Kit
 
 *See Oem Coupler Series Offerings*"
Wheel Loader Hydraulic Construction Forks,"TAG Hydraulic Construction Forks Offer A Heavy Duty Fork Solution For General Construction Work With The Added Feature Of Hydraulically Adjusted Tines. Tines Will Evenly Narrow And Widen From The Cab Thru Hydraulic Control.
 - Heavy Duty Carriage
 - Rod Mounted Tines Hydraulically Adjustable
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96""
 - Requires 3Rd Function Hydraulics
 
 **These Will Not Side Shift**"
Wheel Loader Hydraulic Couplers,"TAG Hydraulic Quick Couplers Offer Quick Interchange Between Attachments While Staying In The Cab And Are Offered For Oem Quick Coupler Configurations
 - Robust Heavy Duty Carriage
 - Reliable Single (1) Cylinder & Two (2) Pin Design
 - Includes Hydraulic Kit
 
 *See Oem Coupler Series Offerings*"
Wheel Loader Independent Top Clamp Stacking Rakes,"TAG Heavy Duty Stacking Rakes With Top Clamps Are Designed With Curved Tines For Maximum Material Retention.
 - Availble Clamp Style: Two (2) Independent Top Clamps, Solid Paddle Clamp, Ladder Style Clamp
 - Enclosed Cylinders Reduce Damage And Extend Service Life
 - T-1 Grade Construction
 - Available In Pin On Or Quick Coupler Configurations
 - Requires 3Rd Function Hydraulics"
Wheel Loader Independent Top Clamp Standard Rakes,"TAG Heavy Duty Standard Loading Rakes With Top Clamps Are Designed With Straight Tine Construction For Easier Ground Loading.
 - Availble Clamp Style: Two (2) Independent Top Clamps, Solid Paddle Clamp, Ladder Style Clamp
 - Enclosed Cylinders Reduce Damage And Extend Service Life
 - T-1 Grade Construction
 - Available In Pin On Or Quick Coupler Configurations
 - Requires 3Rd Function Hydraulics"
Wheel Loader ITA Style Pallet Forks,"TAG Ita Style Medium Duty Pallet Forks Offer A Traditional Notched Backboard Style Fork For Rubber Tire Backhoes And Wheel Loaders.
 - Option Top Guard / Rack Available
 - Carriage Widths: 48"" - 96""
 - Tine Lengths: 48"" - 96"""
Wheel Loader Light Material Buckets,"TAG Light Material Buckets Are Designed To Handle Material Up To 1,800 Lbs Per Cubic Yard
 - Standard Solid Spill Plate
 - Includes Bolt On Edge & Rear Wear Pads"
Wheel Loader Loading Style Trash Buckets,"TAG Heavy Duty Loading Style Trash Buckets Designed For Waste Transfer Stations That Require A Shorter Deeper Bucket For Loading And Hauling Material.
 - Heavy Duty Integrated Spill Plate
 - Includes Bolt On Edge & Rear Wear Pads
 - Optional Rubber Edges And Rear Wear Pads"
Wheel Loader Log & Lumber Dual Clamp Forks,"TAG Log & Lumber Forks With Dual Clamps Offer A Heavy Duty Clamping Fork Solution For Lumber Yards. All The Attributes Of Our Standard Log & Lumber Forks Plus The Addition Of Dual Top Clamps For Added Versatility. 
 - Dual Clamps Are Positioned Over Tines
 - Heavy Duty Carriage
 - Full Length Sides And Gussets With Optional Extra Height Single Piece Back Stops
 - Rod Mounted Tines
 - Carriages Offered With Fixed Tine Rods Or 5.00"" Oscillating Rods
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96""
 - Requires 3Rd Function Hydraulics
 
 **See Fork Carriage Configurations For Further Options**"
Wheel Loader Log & Lumber Forks,"TAG Log & Lumber Forks Offer A Heavy Duty Fork Solution For Lumber Yards.
 - Heavy Duty Carriage
 - Full Length Sides And Gussets With Optional Extra Height Single Piece Back Stops
 - Rod Mounted Tines
 - Carriages Offered With Fixed Tine Rods Or 5.00"" Oscillating Rods
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96""
 
 **See Fork Carriage Configurations For Further Options**"
Wheel Loader Log & Lumber Paddle Clamp Forks,"TAG Log & Lumber Forks With Paddle Clamp Offer A Heavy Duty Clamping Fork Solution For Lumber Yards. All The Attributes Of Our Standard Log & Lumber Forks Plus The Addition Of A Paddl4 Top Clamp For Added Versatility.
 - Paddle Clamp Offer The Largest Clamping Area
 - Heavy Duty Carriage
 - Full Length Sides And Gussets With Optional Extra Height Single Piece Back Stops
 - Rod Mounted Tines
 - Carriages Offered With Fixed Tine Rods Or 5.00"" Oscillating Rods
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96""
 - Requires 3Rd Function Hydraulics
 
 **See Fork Carriage Configurations For Further Options**"
Wheel Loader Log & Lumber Single Clamp Forks,"TAG Log & Lumber Forks With Single Top Clamp Offer A Heavy Duty Clamping Fork Solution For Lumber Yards. All The Attributes Of Our Standard Log & Lumber Forks Plus The Addition Of A Single Top Clamp For Added Versatility.
 - Single Clamp Is Possitioned Center Of The Carriage
 - Heavy Duty Carriage
 - Full Length Sides And Gussets With Optional Extra Height Single Piece Back Stops
 - Rod Mounted Tines
 - Carriages Offered With Fixed Tine Rods Or 5.00"" Oscillating Rods
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96""
 - Requires 3Rd Function Hydraulics
 
 **See Fork Carriage Configurations For Further Options**"
Wheel Loader Mechanical Construction Forks,"TAG Mechanical Construction Forks Offer A Heavy Duty Fork Solution For General Construction Work.
 - Heavy Duty Carriage
 - Rod Mounted Tines
 - Split Collar Lock Collars Allow Repositing Of Tines Without Damaging Rods
 - Carriage Widths: 60"" - 106""
 - Tine Lengths: 48"" - 96"""
Wheel Loader Mechanical Couplers,"TAG Mechanical Quick Couplers Offer An Economic Interchange Solution With The Same Carriage Design As Our Hydraulic Version For Most Oem Quick Coupler Configurations
 - Robust Heavy Duty Carriage
 - Reliable Two (2) Pin Design
 
 *See Oem Coupler Series Offerings*"
Wheel Loader Mill Yard Forks,"TAG Mill Yard Forks Offers A Robust Boxed Tine Integrated Carriage With A Paddle Style Clamp.
 - Boxed Tines Fabricated From High Strength Steel
 - Single Piece High Strength Steel Clamp Plates & Skins
 - Adjustable Cross-Over Relief Valve To Protect Cylinders
 - Oversized Heat-Treated Hinge & Cylinder Pins
 - Standard Weld On Bottom Wear Strips For Additional Tine Wear Protection
 - Carriages: 80"" - 110""
 - Tines: 48"" - 90""
 - Required 3Rd Function Hydraulics"
Wheel Loader Multi Purpose (4:1) Buckets,"TAG Multi Purpose (4:1) Buckets Offer An Attachment That Will Load, Grade And Backfill Material All Within A Single Attachment. 
 - Includes Bolt On Edges
 - Tooth And Segment Options Available"
Wheel Loader Non Profiled Female QC Blanks,"TAG Non Profiled Female QC Adapter Blanks Provide Quick Coupler Adaptability To Any Attachment
 - Available For Most Oem Quick Coupler Configurations
 - Profiled Adapters Available For TAG Brand Attachments"
Wheel Loader Pipe Grapple Forks,"TAG Pipe Grapple Forks Offer A Pipe Handling Solution With A Clamp That Will Secure Pipe From Falling From Tines.
 - Designed Specifically For Pipe Handling
 - High Strength Steel Construction
 - Single Clamp Design With Independent Hold Downs
 - Optional Over Bite Configuration For Clamp
 - Carriages: 96"" - 120""
 - Tines: 60"" - 72""
 - Requires 3Rd Function Hydraulics"
Wheel Loader Pushing Style Trash Buckets,"TAG Heavy Duty Pushing Style Trash Buckets Designed For Waste Transfer Stations That Require A Taller And Shallower Bucket For Pushing Material.
 - Heavy Duty Integrated Spill Plate
 - Includes Bolt On Edge & Rear Wear Pads
 - Optional Rubber Edges And Rear Wear Pads"
Wheel Loader Rubber Tire General Purpose Buckets,"TAG Rubber Tire General Purpose Buckets Are Designed For Basic Dirt Handling Needs. These Buckets Handle Material Up To 3,200 Lbs Per Cubic Yard
 - Includes Bolt On Edge
 - Tooth Options Available"
Wheel Loader Rubber Tire Light Material Buckets,"TAG Rubber Tire Light Material Buckets Are Designed To Handle Material Up To 1,800 Lbs Per Cubic Yard
 - Includes Bolt On Edge"
Wheel Loader Side Dump Buckets,"TAG Side Dump Buckets Allow Material To Be Dumped To The Left Or Right Hand Side Of The Machine.
 - Left Hand Dump Standard, Right Hand Dump Available
 - Chute Dumps At 45 Degree Angle
 - Includes Bolt On Edge & Rear Wear Pads
 - Requires 3Rd Function Hydraulics"
Wheel Loader Skeleton Rock Buckets,"TAG Skeleton Rock Buckets Offer A Solution For Applications That Will Allow Fill Material To Flow Through The Bucket And Provide More Capacity For Rock Only. Tine Spacing And Thickness Can Be Customized To Customer Specific Needs.
 - Includes Double Beveled, Reversible Bolt On Edge
 - Tooth And Segment Options Available"
Wheel Loader Sorting Grapple Forks,"TAG Sorting Grapple Offers A Robust Boxed Tine Integrated Carriage With A Curved Paddle Style Clamp Offer Max Loading Capacities Per Class Of Wheel Loader.
 - Boxed Tines Fabricated From High Strength Steel
 - Single Piece High Strength Steel Clamp Plates & Skins
 - Adjustable Cross-Over Relief Valve To Protect Cylinders
 - Oversized Heat-Treated Hinge & Cylinder Pins
 - Standard Weld On Bottom Wear Strips For Additional Tine Wear Protection
 - Carriages: 64"" - 84""
 - Tines: 36"" - 60""
 - Required 3Rd Function Hydraulics"
Wheel Loader Stacking Rakes,"TAG Heavy Duty Stacking Rakes Are Designed With Curved Tines For Maximum Material Retention.
 - T-1 Grade Construction
 - Available In Pin On Or Quick Coupler Configurations"
Wheel Loader Standard Rakes,"TAG Heavy Duty Standard Loading Rakes Are Designed With Straight Tine Construction For Easier Ground Loading.
 - T-1 Grade Construction
 - Available In Pin On Or Quick Coupler Configurations"
Wheel Loader Styles Offered Couplers,"TAG Offers Rubber Tire Backhoe, Wheel Loader And Crawler Quick Couplers In Most All Oem Quick Coupler Configurations.
 - See Coupler Series Chart Below"
Wheel Loader TAG Series 9 Hyd Couplers,"TAG Hydraulic Series 9 Quick Couplers Offer An Interchange Solution That Is Compatible With The Cat Style Vertical Twin Cylinder Attachments.
 - Robust Heavy Duty Carriage
 - Twin Verical Cylinder Interface
 - Includes Hydraulic Kit
 
 *Not Compatible With Cat Style It Couplers With Horizonal Cylinder*"
Wheel Loader Ultra Light Weight Wood Chip Buckets,"TAG Ultra Light Weight Wood Chip Buckets Are Designed To Handle Material Up To 1,000 Lbs Per Cubic Yard
 - Standard Full Screen Spill Plate
 - Optional Solid Or Partial Spill Plates
 - Includes Bolt On Edge & Rear Wear Pads"
Wheel Loader Xtended Performance Buckets,"TAG Xtended Performance Buckets Offer Increased Capacity With Englogated Floors And Curved Extended Profile Sidecutters. 
 - Includes Bolt On Edge & Rear Wear Pads
 - Tooth And Segment Options Available"
Wheel Loader Xtreme Duty Hyd Couplers,"TAG Xtreme Hydraulic Quick Couplers Are Designed For Demanding Applications But Still Offer All The Conveniences Of Our Standard Hydraulic Coupler Plus The Following:
 - Sereve Duty Reinforced Carriage
 - Standard Full Debris Covers & Plating
 - Dual (2) Cylinder Interface
 - Recommended For Forestry And Recycling Applications
 - Includes Hydraulic Kit
 
 *See Oem Coupler Series Offerings*"
Xtreme Duty Mining Bucket,"TAG Xreme Duty Mining Buckets Maximizes Production In Mining And Extreme Wear Applications By Providing A Robust Bucket Option That Reduces Failures And Will Hold Up In The Most Abrasive Environments. Xtreme Duty Mining Buckets Have All The Attributes Of Our Severe Duty Line Plus The Following Added Benefits:
 - Robust Torque Tubes
 - Replaceable Vertical Shrouds
 - Replaceable Heal Protectors
 - Increased Thickness To Shell And Cutting Edge"